Wall time,Step,Value
1654665282.0959692,1238879,198.2069549560547
1654665285.6940742,1238959,199.5355682373047
1654665289.1588538,1239039,197.62060546875
1654665292.5435083,1239119,198.6829833984375
1654665295.9232109,1239199,198.87567138671875
1654665299.4457796,1239279,202.51161193847656
1654665303.0878837,1239359,201.07456970214844
1654665306.5937452,1239439,199.89804077148438
1654665310.130235,1239519,198.31687927246094
1654665313.7269738,1239599,200.26858520507812
1654665317.2321372,1239679,200.27874755859375
1654665320.8453212,1239759,202.90179443359375
1654665324.4767475,1239839,198.9083709716797
1654665328.0109916,1239919,198.66567993164062
1654665331.697495,1239999,200.41050720214844
1654665339.0137448,1240079,195.767822265625
1654665342.6322722,1240159,199.898681640625
1654665346.1377285,1240239,195.6980438232422
1654665349.7208107,1240319,196.9983673095703
1654665353.4043138,1240399,197.77049255371094
1654665357.21456,1240479,198.0172882080078
1654665360.7216177,1240559,200.38671875
1654665364.2173378,1240639,199.47666931152344
1654665368.160692,1240719,196.84523010253906
1654665371.7317035,1240799,199.40341186523438
1654665375.3932621,1240879,201.3331298828125
1654665378.9761791,1240959,200.2959747314453
1654665382.4685352,1241039,200.41673278808594
1654665385.9399412,1241119,202.5933837890625
1654665389.570842,1241199,197.4949951171875
1654665393.0506182,1241279,199.0668182373047
1654665396.563377,1241359,198.64651489257812
1654665400.1608143,1241439,199.4647674560547
1654665403.6427205,1241519,198.6593780517578
1654665407.0558367,1241599,198.46923828125
1654665410.71602,1241679,195.4344940185547
1654665414.4718168,1241759,197.25283813476562
1654665417.98406,1241839,197.57752990722656
1654665421.478396,1241919,196.7666473388672
1654665425.0872922,1241999,200.10757446289062
1654665428.5412924,1242079,195.64260864257812
1654665432.1124914,1242159,197.49301147460938
1654665435.616614,1242239,197.0495147705078
1654665439.0225499,1242319,197.76446533203125
1654665442.6642516,1242399,198.6441192626953
1654665446.1200976,1242479,197.3663787841797
1654665449.5106058,1242559,194.50819396972656
1654665452.9144754,1242639,196.00108337402344
1654665456.7015617,1242719,198.6680450439453
1654665460.217441,1242799,196.53305053710938
1654665463.7120633,1242879,200.9884490966797
1654665467.2230327,1242959,194.2319793701172
1654665470.7051206,1243039,197.0198516845703
1654665474.199343,1243119,197.18218994140625
1654665477.5937653,1243199,199.1138916015625
1654665481.3830945,1243279,199.78155517578125
1654665484.7693908,1243359,197.2386016845703
1654665488.2456388,1243439,197.47813415527344
1654665491.956684,1243519,196.6897430419922
1654665495.7405279,1243599,195.89488220214844
1654665499.1990147,1243679,194.0850372314453
1654665502.7233078,1243759,195.8769989013672
1654665506.1633306,1243839,196.64317321777344
1654665509.5732005,1243919,198.96730041503906
1654665513.0539064,1243999,196.09152221679688
1654665516.5052931,1244079,196.33216857910156
1654665519.9678667,1244159,196.972900390625
1654665523.4321373,1244239,196.23716735839844
1654665526.9990914,1244319,196.2084503173828
1654665530.4934757,1244399,196.56979370117188
1654665534.0182042,1244479,196.8573760986328
1654665537.5658133,1244559,197.3666229248047
1654665541.1080866,1244639,196.81675720214844
1654665544.7694182,1244719,194.94631958007812
1654665548.2783482,1244799,195.88894653320312
1654665551.7534692,1244879,196.10455322265625
1654665555.246897,1244959,197.45431518554688
1654665558.621701,1245039,193.73675537109375
1654665562.2882912,1245119,195.73980712890625
1654665565.7202504,1245199,195.3811492919922
1654665569.252913,1245279,196.10874938964844
1654665572.7621284,1245359,196.0374755859375
1654665576.4894953,1245439,198.05368041992188
1654665580.047609,1245519,197.08140563964844
1654665583.4988246,1245599,196.4735107421875
1654665586.9597979,1245679,197.2852325439453
1654665590.7879336,1245759,199.02964782714844
1654665594.2716992,1245839,192.99000549316406
1654665597.7532325,1245919,197.26136779785156
1654665601.1547623,1245999,198.78390502929688
1654665604.7021532,1246079,199.440673828125
1654665608.1746671,1246159,196.7740478515625
1654665611.8713534,1246239,198.24630737304688
1654665615.7549,1246319,195.5162353515625
1654665618.952826,1246399,194.8719482421875
1654665622.4612606,1246479,194.76565551757812
1654665626.2335167,1246559,198.23410034179688
1654665629.755091,1246639,198.2856903076172
1654665633.207599,1246719,198.265380859375
